Batsman,Opponent,Total Runs,Venue
RR Sarwan,Royal Challengers Bangalore,31,M Chinnaswamy Stadium
SE Marsh,Royal Challengers Bangalore,39,M Chinnaswamy Stadium
V Kohli,Kings XI Punjab,34,M Chinnaswamy Stadium
W Jaffer,Kings XI Punjab,0,M Chinnaswamy Stadium
Yuvraj Singh,Royal Challengers Bangalore,1,M Chinnaswamy Stadium
Z Khan,Kings XI Punjab,0,M Chinnaswamy Stadium
AC Gilchrist,Chennai Super Kings,54,"MA Chidambaram Stadium, Chepauk"
HH Gibbs,Chennai Super Kings,10,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Deccan Chargers,29,"MA Chidambaram Stadium, Chepauk"
Joginder Sharma,Deccan Chargers,16,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Deccan Chargers,23,"MA Chidambaram Stadium, Chepauk"
MS Gony,Deccan Chargers,15,"MA Chidambaram Stadium, Chepauk"
PA Patel,Deccan Chargers,4,"MA Chidambaram Stadium, Chepauk"
RG Sharma,Chennai Super Kings,23,"MA Chidambaram Stadium, Chepauk"
S Anirudha,Deccan Chargers,1,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Deccan Chargers,0,"MA Chidambaram Stadium, Chepauk"
SB Styris,Chennai Super Kings,36,"MA Chidambaram Stadium, Chepauk"
SK Raina,Deccan Chargers,32,"MA Chidambaram Stadium, Chepauk"
SP Fleming,Deccan Chargers,14,"MA Chidambaram Stadium, Chepauk"
Shahid Afridi,Chennai Super Kings,20,"MA Chidambaram Stadium, Chepauk"
AM Nayar,Rajasthan Royals,12,Dr DY Patil Sports Academy
DJ Bravo,Rajasthan Royals,1,Dr DY Patil Sports Academy
GC Smith,Mumbai Indians,5,Dr DY Patil Sports Academy
M Kaif,Mumbai Indians,4,Dr DY Patil Sports Academy
M Rawat,Mumbai Indians,1,Dr DY Patil Sports Academy
MM Patel,Mumbai Indians,0,Dr DY Patil Sports Academy
RA Jadeja,Mumbai Indians,0,Dr DY Patil Sports Academy
RV Uthappa,Rajasthan Royals,34,Dr DY Patil Sports Academy
SA Asnodkar,Mumbai Indians,39,Dr DY Patil Sports Academy
SK Trivedi,Mumbai Indians,1,Dr DY Patil Sports Academy
SK Warne,Mumbai Indians,7,Dr DY Patil Sports Academy
SR Watson,Mumbai Indians,32,Dr DY Patil Sports Academy
ST Jayasuriya,Rajasthan Royals,18,Dr DY Patil Sports Academy
Sohail Tanvir,Mumbai Indians,6,Dr DY Patil Sports Academy
YK Pathan,Mumbai Indians,1,Dr DY Patil Sports Academy
YV Takawale,Rajasthan Royals,27,Dr DY Patil Sports Academy
AB de Villiers,Chennai Super Kings,0,Feroz Shah Kotla
CK Kapugedera,Delhi Daredevils,8,Feroz Shah Kotla
G Gambhir,Chennai Super Kings,80,Feroz Shah Kotla
JA Morkel,Delhi Daredevils,30,Feroz Shah Kotla
KD Karthik,Chennai Super Kings,6,Feroz Shah Kotla
MK Tiwary,Chennai Super Kings,5,Feroz Shah Kotla
MS Dhoni,Delhi Daredevils,33,Feroz Shah Kotla
MS Gony,Delhi Daredevils,13,Feroz Shah Kotla
S Badrinath,Delhi Daredevils,8,Feroz Shah Kotla
S Dhawan,Chennai Super Kings,59,Feroz Shah Kotla
S Vidyut,Delhi Daredevils,40,Feroz Shah Kotla
SK Raina,Delhi Daredevils,1,Feroz Shah Kotla
SP Fleming,Delhi Daredevils,44,Feroz Shah Kotla
Shoaib Malik,Chennai Super Kings,2,Feroz Shah Kotla
V Sehwag,Chennai Super Kings,23,Feroz Shah Kotla
A Chopra,Royal Challengers Bangalore,2,Eden Gardens
BJ Hodge,Royal Challengers Bangalore,10,Eden Gardens
CL White,Kolkata Knight Riders,30,Eden Gardens
DJ Hussey,Royal Challengers Bangalore,26,Eden Gardens
J Arunkumar,Kolkata Knight Riders,22,Eden Gardens
LR Shukla,Royal Challengers Bangalore,11,Eden Gardens
M Kartik,Royal Challengers Bangalore,17,Eden Gardens
MV Boucher,Kolkata Knight Riders,50,Eden Gardens
P Kumar,Kolkata Knight Riders,4,Eden Gardens
R Dravid,Kolkata Knight Riders,5,Eden Gardens
S Chanderpaul,Kolkata Knight Riders,7,Eden Gardens
SC Ganguly,Royal Challengers Bangalore,20,Eden Gardens
T Taibu,Royal Challengers Bangalore,15,Eden Gardens
Umar Gul,Royal Challengers Bangalore,6,Eden Gardens
WP Saha,Royal Challengers Bangalore,17,Eden Gardens
AC Gilchrist,Rajasthan Royals,61,Sawai Mansingh Stadium
DB Ravi Teja,Rajasthan Royals,6,Sawai Mansingh Stadium
GC Smith,Deccan Chargers,40,Sawai Mansingh Stadium
HH Gibbs,Rajasthan Royals,19,Sawai Mansingh Stadium
M Kaif,Deccan Chargers,17,Sawai Mansingh Stadium
PP Ojha,Rajasthan Royals,1,Sawai Mansingh Stadium
RG Sharma,Rajasthan Royals,5,Sawai Mansingh Stadium
RP Singh,Rajasthan Royals,2,Sawai Mansingh Stadium
SB Bangar,Rajasthan Royals,3,Sawai Mansingh Stadium
SB Styris,Rajasthan Royals,13,Sawai Mansingh Stadium
SR Watson,Deccan Chargers,5,Sawai Mansingh Stadium
Shahid Afridi,Rajasthan Royals,1,Sawai Mansingh Stadium
Y Venugopal Rao,Rajasthan Royals,23,Sawai Mansingh Stadium
YK Pathan,Deccan Chargers,68,Sawai Mansingh Stadium
B Akhil,Mumbai Indians,5,M Chinnaswamy Stadium
CL White,Mumbai Indians,26,M Chinnaswamy Stadium
MV Boucher,Mumbai Indians,18,M Chinnaswamy Stadium
Misbah-ul-Haq,Mumbai Indians,0,M Chinnaswamy Stadium
P Kumar,Mumbai Indians,8,M Chinnaswamy Stadium
R Dravid,Mumbai Indians,11,M Chinnaswamy Stadium
R Vinay Kumar,Mumbai Indians,23,M Chinnaswamy Stadium
RV Uthappa,Royal Challengers Bangalore,19,M Chinnaswamy Stadium
SP Goswami,Mumbai Indians,20,M Chinnaswamy Stadium
SR Tendulkar,Royal Challengers Bangalore,40,M Chinnaswamy Stadium
ST Jayasuriya,Royal Challengers Bangalore,54,M Chinnaswamy Stadium
V Kohli,Mumbai Indians,0,M Chinnaswamy Stadium
DPMD Jayawardene,Chennai Super Kings,8,"MA Chidambaram Stadium, Chepauk"
IK Pathan,Chennai Super Kings,40,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Kings XI Punjab,7,"MA Chidambaram Stadium, Chepauk"
JR Hopes,Chennai Super Kings,14,"MA Chidambaram Stadium, Chepauk"
K Goel,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Kings XI Punjab,60,"MA Chidambaram Stadium, Chepauk"
PP Chawla,Chennai Super Kings,17,"MA Chidambaram Stadium, Chepauk"
RR Sarwan,Chennai Super Kings,20,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Kings XI Punjab,64,"MA Chidambaram Stadium, Chepauk"
S Vidyut,Kings XI Punjab,8,"MA Chidambaram Stadium, Chepauk"
SE Marsh,Chennai Super Kings,58,"MA Chidambaram Stadium, Chepauk"
SK Raina,Kings XI Punjab,26,"MA Chidambaram Stadium, Chepauk"
SP Fleming,Kings XI Punjab,1,"MA Chidambaram Stadium, Chepauk"
U Kaul,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
VRV Singh,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
Yuvraj Singh,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
A Chopra,Deccan Chargers,24,"Rajiv Gandhi International Stadium, Uppal"
AC Gilchrist,Kolkata Knight Riders,24,"Rajiv Gandhi International Stadium, Uppal"
DB Ravi Teja,Kolkata Knight Riders,10,"Rajiv Gandhi International Stadium, Uppal"
DJ Hussey,Deccan Chargers,57,"Rajiv Gandhi International Stadium, Uppal"
HH Gibbs,Kolkata Knight Riders,5,"Rajiv Gandhi International Stadium, Uppal"
LR Shukla,Deccan Chargers,14,"Rajiv Gandhi International Stadium, Uppal"
RG Sharma,Kolkata Knight Riders,33,"Rajiv Gandhi International Stadium, Uppal"
RP Singh,Kolkata Knight Riders,6,"Rajiv Gandhi International Stadium, Uppal"
SB Bangar,Kolkata Knight Riders,2,"Rajiv Gandhi International Stadium, Uppal"
SB Styris,Kolkata Knight Riders,5,"Rajiv Gandhi International Stadium, Uppal"
SC Ganguly,Deccan Chargers,91,"Rajiv Gandhi International Stadium, Uppal"
Salman Butt,Deccan Chargers,4,"Rajiv Gandhi International Stadium, Uppal"
T Taibu,Deccan Chargers,9,"Rajiv Gandhi International Stadium, Uppal"
WPUJC Vaas,Kolkata Knight Riders,9,"Rajiv Gandhi International Stadium, Uppal"
Y Venugopal Rao,Kolkata Knight Riders,71,"Rajiv Gandhi International Stadium, Uppal"
A Mishra,Rajasthan Royals,4,Sawai Mansingh Stadium
AB de Villiers,Rajasthan Royals,20,Sawai Mansingh Stadium
AD Mascarenhas,Delhi Daredevils,9,Sawai Mansingh Stadium
G Gambhir,Rajasthan Royals,31,Sawai Mansingh Stadium
GC Smith,Delhi Daredevils,24,Sawai Mansingh Stadium
KD Karthik,Rajasthan Royals,13,Sawai Mansingh Stadium
M Kaif,Delhi Daredevils,1,Sawai Mansingh Stadium
M Rawat,Delhi Daredevils,5,Sawai Mansingh Stadium
MF Maharoof,Rajasthan Royals,39,Sawai Mansingh Stadium
NK Patel,Delhi Daredevils,4,Sawai Mansingh Stadium
RA Jadeja,Delhi Daredevils,6,Sawai Mansingh Stadium
S Dhawan,Rajasthan Royals,3,Sawai Mansingh Stadium
SK Warne,Delhi Daredevils,11,Sawai Mansingh Stadium
SR Watson,Delhi Daredevils,74,Sawai Mansingh Stadium
TM Dilshan,Rajasthan Royals,18,Sawai Mansingh Stadium
V Sehwag,Rajasthan Royals,17,Sawai Mansingh Stadium
VY Mahesh,Rajasthan Royals,0,Sawai Mansingh Stadium
YK Pathan,Delhi Daredevils,8,Sawai Mansingh Stadium
A Kumble,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
CL White,Kings XI Punjab,10,"Punjab Cricket Association Stadium, Mohali"
J Arunkumar,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
JR Hopes,Royal Challengers Bangalore,27,"Punjab Cricket Association Stadium, Mohali"
LA Pomersbach,Royal Challengers Bangalore,34,"Punjab Cricket Association Stadium, Mohali"
MV Boucher,Kings XI Punjab,39,"Punjab Cricket Association Stadium, Mohali"
Misbah-ul-Haq,Kings XI Punjab,21,"Punjab Cricket Association Stadium, Mohali"
P Kumar,Kings XI Punjab,5,"Punjab Cricket Association Stadium, Mohali"
R Dravid,Kings XI Punjab,29,"Punjab Cricket Association Stadium, Mohali"
R Vinay Kumar,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
SE Marsh,Royal Challengers Bangalore,74,"Punjab Cricket Association Stadium, Mohali"
V Kohli,Kings XI Punjab,21,"Punjab Cricket Association Stadium, Mohali"
Z Khan,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
A Chopra,Delhi Daredevils,13,Eden Gardens
A Mishra,Kolkata Knight Riders,31,Eden Gardens
AB de Villiers,Kolkata Knight Riders,7,Eden Gardens
DJ Hussey,Delhi Daredevils,31,Eden Gardens
G Gambhir,Kolkata Knight Riders,10,Eden Gardens
Iqbal Abdulla,Delhi Daredevils,1,Eden Gardens
LR Shukla,Delhi Daredevils,10,Eden Gardens
MF Maharoof,Kolkata Knight Riders,10,Eden Gardens
MK Tiwary,Kolkata Knight Riders,9,Eden Gardens
PJ Sangwan,Kolkata Knight Riders,0,Eden Gardens
S Dhawan,Kolkata Knight Riders,7,Eden Gardens
SC Ganguly,Delhi Daredevils,7,Eden Gardens
Salman Butt,Delhi Daredevils,48,Eden Gardens
T Taibu,Delhi Daredevils,7,Eden Gardens
TM Dilshan,Kolkata Knight Riders,25,Eden Gardens
V Sehwag,Kolkata Knight Riders,0,Eden Gardens
VY Mahesh,Kolkata Knight Riders,3,Eden Gardens
WP Saha,Delhi Daredevils,5,Eden Gardens
CK Kapugedera,Mumbai Indians,0,Wankhede Stadium
JA Morkel,Mumbai Indians,5,Wankhede Stadium
MS Dhoni,Mumbai Indians,43,Wankhede Stadium
RV Uthappa,Chennai Super Kings,16,Wankhede Stadium
S Badrinath,Mumbai Indians,53,Wankhede Stadium
S Vidyut,Mumbai Indians,16,Wankhede Stadium
SK Raina,Mumbai Indians,1,Wankhede Stadium
SP Fleming,Mumbai Indians,26,Wankhede Stadium
SR Tendulkar,Chennai Super Kings,12,Wankhede Stadium
ST Jayasuriya,Chennai Super Kings,114,Wankhede Stadium
D Salunkhe,Kings XI Punjab,6,"Punjab Cricket Association Stadium, Mohali"
JR Hopes,Rajasthan Royals,51,"Punjab Cricket Association Stadium, Mohali"
Kamran Akmal,Kings XI Punjab,24,"Punjab Cricket Association Stadium, Mohali"
LA Pomersbach,Rajasthan Royals,1,"Punjab Cricket Association Stadium, Mohali"
M Kaif,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
M Rawat,Kings XI Punjab,23,"Punjab Cricket Association Stadium, Mohali"
NK Patel,Kings XI Punjab,57,"Punjab Cricket Association Stadium, Mohali"
Pankaj Singh,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
SE Marsh,Rajasthan Royals,115,"Punjab Cricket Association Stadium, Mohali"
SR Watson,Kings XI Punjab,22,"Punjab Cricket Association Stadium, Mohali"
YK Pathan,Kings XI Punjab,39,"Punjab Cricket Association Stadium, Mohali"
Younis Khan,Kings XI Punjab,3,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Rajasthan Royals,49,"Punjab Cricket Association Stadium, Mohali"
AC Gilchrist,Delhi Daredevils,14,Feroz Shah Kotla
DB Ravi Teja,Delhi Daredevils,9,Feroz Shah Kotla
DP Vijaykumar,Delhi Daredevils,1,Feroz Shah Kotla
G Gambhir,Deccan Chargers,79,Feroz Shah Kotla
HH Gibbs,Delhi Daredevils,22,Feroz Shah Kotla
MF Maharoof,Deccan Chargers,19,Feroz Shah Kotla
MK Tiwary,Deccan Chargers,4,Feroz Shah Kotla
PM Sarvesh Kumar,Delhi Daredevils,1,Feroz Shah Kotla
PP Ojha,Delhi Daredevils,0,Feroz Shah Kotla
RG Sharma,Delhi Daredevils,35,Feroz Shah Kotla
RP Singh,Delhi Daredevils,1,Feroz Shah Kotla
S Dhawan,Deccan Chargers,68,Feroz Shah Kotla
SB Styris,Delhi Daredevils,29,Feroz Shah Kotla
Shahid Afridi,Delhi Daredevils,33,Feroz Shah Kotla
TM Dilshan,Deccan Chargers,16,Feroz Shah Kotla
V Sehwag,Deccan Chargers,0,Feroz Shah Kotla
Y Venugopal Rao,Delhi Daredevils,34,Feroz Shah Kotla
A Chopra,Mumbai Indians,1,Wankhede Stadium
AB Agarkar,Mumbai Indians,15,Wankhede Stadium
AB Dinda,Mumbai Indians,1,Wankhede Stadium
DJ Hussey,Mumbai Indians,2,Wankhede Stadium
DJ Thornely,Kolkata Knight Riders,1,Wankhede Stadium
I Sharma,Mumbai Indians,4,Wankhede Stadium
LR Shukla,Mumbai Indians,0,Wankhede Stadium
Mohammad Hafeez,Mumbai Indians,5,Wankhede Stadium
RV Uthappa,Kolkata Knight Riders,9,Wankhede Stadium
SC Ganguly,Mumbai Indians,15,Wankhede Stadium
SR Tendulkar,Kolkata Knight Riders,0,Wankhede Stadium
ST Jayasuriya,Kolkata Knight Riders,48,Wankhede Stadium
Salman Butt,Mumbai Indians,13,Wankhede Stadium
Shoaib Akhtar,Mumbai Indians,2,Wankhede Stadium
WP Saha,Mumbai Indians,1,Wankhede Stadium
DPMD Jayawardene,Delhi Daredevils,36,Feroz Shah Kotla
G Gambhir,Kings XI Punjab,40,Feroz Shah Kotla
JR Hopes,Delhi Daredevils,4,Feroz Shah Kotla
LA Pomersbach,Delhi Daredevils,25,Feroz Shah Kotla
MF Maharoof,Kings XI Punjab,0,Feroz Shah Kotla
S Dhawan,Kings XI Punjab,8,Feroz Shah Kotla
SE Marsh,Delhi Daredevils,2,Feroz Shah Kotla
Shoaib Malik,Kings XI Punjab,1,Feroz Shah Kotla
TM Dilshan,Kings XI Punjab,8,Feroz Shah Kotla
V Sehwag,Kings XI Punjab,51,Feroz Shah Kotla
Yuvraj Singh,Delhi Daredevils,23,Feroz Shah Kotla
A Kumble,Rajasthan Royals,8,Sawai Mansingh Stadium
Abdur Razzak,Rajasthan Royals,0,Sawai Mansingh Stadium
CL White,Rajasthan Royals,10,Sawai Mansingh Stadium
DT Patil,Rajasthan Royals,9,Sawai Mansingh Stadium
GC Smith,Royal Challengers Bangalore,75,Sawai Mansingh Stadium
J Arunkumar,Rajasthan Royals,0,Sawai Mansingh Stadium
JH Kallis,Rajasthan Royals,20,Sawai Mansingh Stadium
Misbah-ul-Haq,Rajasthan Royals,0,Sawai Mansingh Stadium
P Kumar,Rajasthan Royals,0,Sawai Mansingh Stadium
R Dravid,Rajasthan Royals,75,Sawai Mansingh Stadium
SA Asnodkar,Royal Challengers Bangalore,50,Sawai Mansingh Stadium
SR Watson,Royal Challengers Bangalore,46,Sawai Mansingh Stadium
V Kohli,Rajasthan Royals,3,Sawai Mansingh Stadium
Z Khan,Rajasthan Royals,1,Sawai Mansingh Stadium
AC Gilchrist,Mumbai Indians,13,"Rajiv Gandhi International Stadium, Uppal"
AM Nayar,Deccan Chargers,38,"Rajiv Gandhi International Stadium, Uppal"
DB Ravi Teja,Mumbai Indians,37,"Rajiv Gandhi International Stadium, Uppal"
DJ Bravo,Deccan Chargers,30,"Rajiv Gandhi International Stadium, Uppal"
DJ Thornely,Deccan Chargers,8,"Rajiv Gandhi International Stadium, Uppal"
DNT Zoysa,Mumbai Indians,10,"Rajiv Gandhi International Stadium, Uppal"
H Das,Mumbai Indians,2,"Rajiv Gandhi International Stadium, Uppal"
LPC Silva,Mumbai Indians,17,"Rajiv Gandhi International Stadium, Uppal"
PR Shah,Deccan Chargers,10,"Rajiv Gandhi International Stadium, Uppal"
RG Sharma,Mumbai Indians,6,"Rajiv Gandhi International Stadium, Uppal"
RP Singh,Mumbai Indians,3,"Rajiv Gandhi International Stadium, Uppal"
RR Raje,Deccan Chargers,1,"Rajiv Gandhi International Stadium, Uppal"
RV Uthappa,Deccan Chargers,7,"Rajiv Gandhi International Stadium, Uppal"
SR Tendulkar,Deccan Chargers,23,"Rajiv Gandhi International Stadium, Uppal"
ST Jayasuriya,Deccan Chargers,36,"Rajiv Gandhi International Stadium, Uppal"
Shahid Afridi,Mumbai Indians,0,"Rajiv Gandhi International Stadium, Uppal"
Y Venugopal Rao,Mumbai Indians,57,"Rajiv Gandhi International Stadium, Uppal"
YV Takawale,Deccan Chargers,5,"Rajiv Gandhi International Stadium, Uppal"
DB Das,Chennai Super Kings,27,Eden Gardens
DJ Hussey,Chennai Super Kings,0,Eden Gardens
LR Shukla,Chennai Super Kings,13,Eden Gardens
Mohammad Hafeez,Chennai Super Kings,6,Eden Gardens
PA Patel,Kolkata Knight Riders,19,Eden Gardens
SC Ganguly,Chennai Super Kings,2,Eden Gardens
SP Fleming,Kolkata Knight Riders,32,Eden Gardens
Salman Butt,Chennai Super Kings,73,Eden Gardens
WP Saha,Chennai Super Kings,15,Eden Gardens
AB de Villiers,Royal Challengers Bangalore,21,M Chinnaswamy Stadium
B Akhil,Delhi Daredevils,3,M Chinnaswamy Stadium
B Chipli,Delhi Daredevils,2,M Chinnaswamy Stadium
CL White,Delhi Daredevils,1,M Chinnaswamy Stadium
G Gambhir,Royal Challengers Bangalore,39,M Chinnaswamy Stadium
JH Kallis,Delhi Daredevils,25,M Chinnaswamy Stadium
KD Karthik,Royal Challengers Bangalore,6,M Chinnaswamy Stadium
MF Maharoof,Royal Challengers Bangalore,13,M Chinnaswamy Stadium
Misbah-ul-Haq,Delhi Daredevils,47,M Chinnaswamy Stadium
P Kumar,Delhi Daredevils,2,M Chinnaswamy Stadium
R Dravid,Delhi Daredevils,9,M Chinnaswamy Stadium
S Dhawan,Royal Challengers Bangalore,16,M Chinnaswamy Stadium
SP Goswami,Delhi Daredevils,52,M Chinnaswamy Stadium
TM Dilshan,Royal Challengers Bangalore,4,M Chinnaswamy Stadium
V Sehwag,Royal Challengers Bangalore,47,M Chinnaswamy Stadium
Z Khan,Delhi Daredevils,4,M Chinnaswamy Stadium
AB Agarkar,Rajasthan Royals,5,Eden Gardens
DB Das,Rajasthan Royals,31,Eden Gardens
DJ Hussey,Rajasthan Royals,11,Eden Gardens
GC Smith,Kolkata Knight Riders,24,Eden Gardens
I Sharma,Rajasthan Royals,2,Eden Gardens
LR Shukla,Rajasthan Royals,15,Eden Gardens
M Kaif,Kolkata Knight Riders,34,Eden Gardens
Mohammad Hafeez,Rajasthan Royals,4,Eden Gardens
SA Asnodkar,Kolkata Knight Riders,5,Eden Gardens
SC Ganguly,Rajasthan Royals,32,Eden Gardens
SR Watson,Kolkata Knight Riders,19,Eden Gardens
Salman Butt,Rajasthan Royals,24,Eden Gardens
Sohail Tanvir,Kolkata Knight Riders,13,Eden Gardens
Umar Gul,Rajasthan Royals,7,Eden Gardens
WP Saha,Rajasthan Royals,11,Eden Gardens
YK Pathan,Kolkata Knight Riders,48,Eden Gardens
A Nehra,Kings XI Punjab,0,Wankhede Stadium
AM Nayar,Kings XI Punjab,27,Wankhede Stadium
CRD Fernando,Kings XI Punjab,2,Wankhede Stadium
DPMD Jayawardene,Mumbai Indians,1,Wankhede Stadium
DR Smith,Kings XI Punjab,20,Wankhede Stadium
IK Pathan,Mumbai Indians,9,Wankhede Stadium
JR Hopes,Mumbai Indians,0,Wankhede Stadium
LA Pomersbach,Mumbai Indians,79,Wankhede Stadium
PR Shah,Kings XI Punjab,5,Wankhede Stadium
RV Uthappa,Kings XI Punjab,9,Wankhede Stadium
SD Chitnis,Kings XI Punjab,15,Wankhede Stadium
SE Marsh,Mumbai Indians,81,Wankhede Stadium
SM Pollock,Kings XI Punjab,0,Wankhede Stadium
SR Tendulkar,Kings XI Punjab,65,Wankhede Stadium
ST Jayasuriya,Kings XI Punjab,20,Wankhede Stadium
VS Yeligati,Kings XI Punjab,2,Wankhede Stadium
Yuvraj Singh,Mumbai Indians,7,Wankhede Stadium
A Kumble,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
B Akhil,Chennai Super Kings,6,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Royal Challengers Bangalore,1,"MA Chidambaram Stadium, Chepauk"
JH Kallis,Chennai Super Kings,5,"MA Chidambaram Stadium, Chepauk"
L Balaji,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk"
M Ntini,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Royal Challengers Bangalore,4,"MA Chidambaram Stadium, Chepauk"
MS Gony,Royal Challengers Bangalore,4,"MA Chidambaram Stadium, Chepauk"
MV Boucher,Chennai Super Kings,17,"MA Chidambaram Stadium, Chepauk"
Misbah-ul-Haq,Chennai Super Kings,4,"MA Chidambaram Stadium, Chepauk"
P Kumar,Chennai Super Kings,21,"MA Chidambaram Stadium, Chepauk"
PA Patel,Royal Challengers Bangalore,24,"MA Chidambaram Stadium, Chepauk"
R Dravid,Chennai Super Kings,47,"MA Chidambaram Stadium, Chepauk"
R Vinay Kumar,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Royal Challengers Bangalore,1,"MA Chidambaram Stadium, Chepauk"
S Vidyut,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk"
SK Raina,Royal Challengers Bangalore,21,"MA Chidambaram Stadium, Chepauk"
SP Fleming,Royal Challengers Bangalore,45,"MA Chidambaram Stadium, Chepauk"
SP Goswami,Chennai Super Kings,10,"MA Chidambaram Stadium, Chepauk"
V Kohli,Chennai Super Kings,10,"MA Chidambaram Stadium, Chepauk"
AC Gilchrist,Kings XI Punjab,50,"Punjab Cricket Association Stadium, Mohali"
DPMD Jayawardene,Deccan Chargers,14,"Punjab Cricket Association Stadium, Mohali"
HH Gibbs,Kings XI Punjab,44,"Punjab Cricket Association Stadium, Mohali"
KC Sangakkara,Deccan Chargers,50,"Punjab Cricket Association Stadium, Mohali"
LA Pomersbach,Deccan Chargers,13,"Punjab Cricket Association Stadium, Mohali"
LPC Silva,Kings XI Punjab,23,"Punjab Cricket Association Stadium, Mohali"
PP Chawla,Deccan Chargers,16,"Punjab Cricket Association Stadium, Mohali"
RG Sharma,Kings XI Punjab,50,"Punjab Cricket Association Stadium, Mohali"
SB Styris,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
SE Marsh,Deccan Chargers,60,"Punjab Cricket Association Stadium, Mohali"
Y Venugopal Rao,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Deccan Chargers,17,"Punjab Cricket Association Stadium, Mohali"
AM Nayar,Delhi Daredevils,1,Feroz Shah Kotla
DR Smith,Delhi Daredevils,17,Feroz Shah Kotla
G Gambhir,Mumbai Indians,19,Feroz Shah Kotla
KD Karthik,Mumbai Indians,56,Feroz Shah Kotla
MF Maharoof,Mumbai Indians,20,Feroz Shah Kotla
MK Tiwary,Mumbai Indians,36,Feroz Shah Kotla
PR Shah,Delhi Daredevils,0,Feroz Shah Kotla
RV Uthappa,Delhi Daredevils,46,Feroz Shah Kotla
S Dhawan,Mumbai Indians,27,Feroz Shah Kotla
SD Chitnis,Delhi Daredevils,3,Feroz Shah Kotla
SM Pollock,Delhi Daredevils,16,Feroz Shah Kotla
SR Tendulkar,Delhi Daredevils,18,Feroz Shah Kotla
ST Jayasuriya,Delhi Daredevils,66,Feroz Shah Kotla
TM Dilshan,Mumbai Indians,0,Feroz Shah Kotla
V Sehwag,Mumbai Indians,18,Feroz Shah Kotla
A Mukund,Rajasthan Royals,0,"MA Chidambaram Stadium, Chepauk"
GC Smith,Chennai Super Kings,91,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Rajasthan Royals,71,"MA Chidambaram Stadium, Chepauk"
Kamran Akmal,Chennai Super Kings,53,"MA Chidambaram Stadium, Chepauk"
