Batsman,Opponent,Total Runs,Venue
TM Srivastava,Delhi Daredevils,7,"Punjab Cricket Association Stadium, Mohali"
V Sehwag,Kings XI Punjab,6,"Punjab Cricket Association Stadium, Mohali"
VY Mahesh,Kings XI Punjab,6,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Delhi Daredevils,40,"Punjab Cricket Association Stadium, Mohali"
B Akhil,Chennai Super Kings,2,M Chinnaswamy Stadium
B Chipli,Chennai Super Kings,8,M Chinnaswamy Stadium
DW Steyn,Chennai Super Kings,1,M Chinnaswamy Stadium
JH Kallis,Chennai Super Kings,14,M Chinnaswamy Stadium
LRPL Taylor,Chennai Super Kings,53,M Chinnaswamy Stadium
MEK Hussey,Royal Challengers Bangalore,47,M Chinnaswamy Stadium
ML Hayden,Royal Challengers Bangalore,13,M Chinnaswamy Stadium
MS Dhoni,Royal Challengers Bangalore,65,M Chinnaswamy Stadium
MV Boucher,Chennai Super Kings,4,M Chinnaswamy Stadium
P Kumar,Chennai Super Kings,6,M Chinnaswamy Stadium
PA Patel,Royal Challengers Bangalore,21,M Chinnaswamy Stadium
R Dravid,Chennai Super Kings,0,M Chinnaswamy Stadium
SK Raina,Royal Challengers Bangalore,28,M Chinnaswamy Stadium
V Kohli,Chennai Super Kings,12,M Chinnaswamy Stadium
W Jaffer,Chennai Super Kings,50,M Chinnaswamy Stadium
Z Khan,Chennai Super Kings,8,M Chinnaswamy Stadium
AB Agarkar,Mumbai Indians,2,Eden Gardens
AM Rahane,Kolkata Knight Riders,4,Eden Gardens
BB McCullum,Mumbai Indians,1,Eden Gardens
DB Das,Mumbai Indians,29,Eden Gardens
DJ Bravo,Kolkata Knight Riders,64,Eden Gardens
DJ Hussey,Mumbai Indians,17,Eden Gardens
LR Shukla,Mumbai Indians,40,Eden Gardens
M Kartik,Mumbai Indians,10,Eden Gardens
MK Pandey,Kolkata Knight Riders,0,Eden Gardens
Mohammad Hafeez,Mumbai Indians,2,Eden Gardens
RT Ponting,Mumbai Indians,19,Eden Gardens
RV Uthappa,Kolkata Knight Riders,37,Eden Gardens
SC Ganguly,Mumbai Indians,4,Eden Gardens
ST Jayasuriya,Kolkata Knight Riders,18,Eden Gardens
G Gambhir,Royal Challengers Bangalore,86,Feroz Shah Kotla
JH Kallis,Delhi Daredevils,54,Feroz Shah Kotla
KD Karthik,Royal Challengers Bangalore,2,Feroz Shah Kotla
LRPL Taylor,Delhi Daredevils,29,Feroz Shah Kotla
MK Tiwary,Royal Challengers Bangalore,11,Feroz Shah Kotla
MV Boucher,Delhi Daredevils,31,Feroz Shah Kotla
P Kumar,Delhi Daredevils,6,Feroz Shah Kotla
R Bhatia,Royal Challengers Bangalore,8,Feroz Shah Kotla
R Dravid,Delhi Daredevils,38,Feroz Shah Kotla
S Dhawan,Royal Challengers Bangalore,50,Feroz Shah Kotla
Shoaib Malik,Royal Challengers Bangalore,6,Feroz Shah Kotla
V Kohli,Delhi Daredevils,1,Feroz Shah Kotla
V Sehwag,Royal Challengers Bangalore,24,Feroz Shah Kotla
W Jaffer,Delhi Daredevils,10,Feroz Shah Kotla
AC Gilchrist,Kings XI Punjab,6,"Rajiv Gandhi International Stadium, Uppal"
D Kalyankrishna,Kings XI Punjab,3,"Rajiv Gandhi International Stadium, Uppal"
DNT Zoysa,Kings XI Punjab,1,"Rajiv Gandhi International Stadium, Uppal"
DPMD Jayawardene,Deccan Chargers,45,"Rajiv Gandhi International Stadium, Uppal"
HH Gibbs,Kings XI Punjab,7,"Rajiv Gandhi International Stadium, Uppal"
KC Sangakkara,Deccan Chargers,3,"Rajiv Gandhi International Stadium, Uppal"
RG Sharma,Kings XI Punjab,76,"Rajiv Gandhi International Stadium, Uppal"
RP Singh,Kings XI Punjab,2,"Rajiv Gandhi International Stadium, Uppal"
RR Sarwan,Deccan Chargers,15,"Rajiv Gandhi International Stadium, Uppal"
SB Bangar,Kings XI Punjab,3,"Rajiv Gandhi International Stadium, Uppal"
SE Marsh,Deccan Chargers,84,"Rajiv Gandhi International Stadium, Uppal"
Shahid Afridi,Kings XI Punjab,13,"Rajiv Gandhi International Stadium, Uppal"
VVS Laxman,Kings XI Punjab,48,"Rajiv Gandhi International Stadium, Uppal"
Y Venugopal Rao,Kings XI Punjab,1,"Rajiv Gandhi International Stadium, Uppal"
Yuvraj Singh,Deccan Chargers,14,"Rajiv Gandhi International Stadium, Uppal"
AB Agarkar,Rajasthan Royals,20,Sawai Mansingh Stadium
AB Dinda,Rajasthan Royals,1,Sawai Mansingh Stadium
BJ Hodge,Rajasthan Royals,1,Sawai Mansingh Stadium
DB Das,Rajasthan Royals,11,Sawai Mansingh Stadium
DJ Hussey,Rajasthan Royals,42,Sawai Mansingh Stadium
GC Smith,Kolkata Knight Riders,2,Sawai Mansingh Stadium
I Sharma,Rajasthan Royals,1,Sawai Mansingh Stadium
LR Shukla,Rajasthan Royals,2,Sawai Mansingh Stadium
M Kaif,Kolkata Knight Riders,21,Sawai Mansingh Stadium
M Rawat,Kolkata Knight Riders,1,Sawai Mansingh Stadium
RA Jadeja,Kolkata Knight Riders,33,Sawai Mansingh Stadium
SA Asnodkar,Kolkata Knight Riders,60,Sawai Mansingh Stadium
SC Ganguly,Rajasthan Royals,51,Sawai Mansingh Stadium
SK Warne,Kolkata Knight Riders,7,Sawai Mansingh Stadium
SR Watson,Kolkata Knight Riders,0,Sawai Mansingh Stadium
Salman Butt,Rajasthan Royals,7,Sawai Mansingh Stadium
Sohail Tanvir,Kolkata Knight Riders,3,Sawai Mansingh Stadium
Umar Gul,Rajasthan Royals,2,Sawai Mansingh Stadium
WP Saha,Rajasthan Royals,1,Sawai Mansingh Stadium
YK Pathan,Kolkata Knight Riders,55,Sawai Mansingh Stadium
AB de Villiers,Chennai Super Kings,26,"MA Chidambaram Stadium, Chepauk"
G Gambhir,Chennai Super Kings,50,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Delhi Daredevils,28,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Delhi Daredevils,32,"MA Chidambaram Stadium, Chepauk"
PA Patel,Delhi Daredevils,21,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Delhi Daredevils,11,"MA Chidambaram Stadium, Chepauk"
S Dhawan,Chennai Super Kings,19,"MA Chidambaram Stadium, Chepauk"
S Vidyut,Delhi Daredevils,54,"MA Chidambaram Stadium, Chepauk"
SK Raina,Delhi Daredevils,3,"MA Chidambaram Stadium, Chepauk"
SP Fleming,Delhi Daredevils,13,"MA Chidambaram Stadium, Chepauk"
V Sehwag,Chennai Super Kings,71,"MA Chidambaram Stadium, Chepauk"
AC Gilchrist,Royal Challengers Bangalore,46,"Rajiv Gandhi International Stadium, Uppal"
AS Yadav,Royal Challengers Bangalore,8,"Rajiv Gandhi International Stadium, Uppal"
B Akhil,Deccan Chargers,27,"Rajiv Gandhi International Stadium, Uppal"
CL White,Deccan Chargers,31,"Rajiv Gandhi International Stadium, Uppal"
DB Ravi Teja,Royal Challengers Bangalore,7,"Rajiv Gandhi International Stadium, Uppal"
HH Gibbs,Royal Challengers Bangalore,47,"Rajiv Gandhi International Stadium, Uppal"
JH Kallis,Deccan Chargers,31,"Rajiv Gandhi International Stadium, Uppal"
LPC Silva,Royal Challengers Bangalore,0,"Rajiv Gandhi International Stadium, Uppal"
Misbah-ul-Haq,Deccan Chargers,34,"Rajiv Gandhi International Stadium, Uppal"
R Dravid,Deccan Chargers,31,"Rajiv Gandhi International Stadium, Uppal"
RG Sharma,Royal Challengers Bangalore,17,"Rajiv Gandhi International Stadium, Uppal"
RP Singh,Royal Challengers Bangalore,1,"Rajiv Gandhi International Stadium, Uppal"
V Kohli,Deccan Chargers,9,"Rajiv Gandhi International Stadium, Uppal"
W Jaffer,Deccan Chargers,5,"Rajiv Gandhi International Stadium, Uppal"
WPUJC Vaas,Royal Challengers Bangalore,0,"Rajiv Gandhi International Stadium, Uppal"
Y Venugopal Rao,Royal Challengers Bangalore,26,"Rajiv Gandhi International Stadium, Uppal"
AB Agarkar,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
BJ Hodge,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
DB Das,Kings XI Punjab,5,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,Kings XI Punjab,71,"Punjab Cricket Association Stadium, Mohali"
DPMD Jayawardene,Kolkata Knight Riders,10,"Punjab Cricket Association Stadium, Mohali"
IK Pathan,Kolkata Knight Riders,24,"Punjab Cricket Association Stadium, Mohali"
JR Hopes,Kolkata Knight Riders,18,"Punjab Cricket Association Stadium, Mohali"
K Goel,Kolkata Knight Riders,6,"Punjab Cricket Association Stadium, Mohali"
KC Sangakkara,Kolkata Knight Riders,28,"Punjab Cricket Association Stadium, Mohali"
LR Shukla,Kings XI Punjab,7,"Punjab Cricket Association Stadium, Mohali"
Mohammad Hafeez,Kings XI Punjab,13,"Punjab Cricket Association Stadium, Mohali"
PP Chawla,Kolkata Knight Riders,21,"Punjab Cricket Association Stadium, Mohali"
SC Ganguly,Kings XI Punjab,5,"Punjab Cricket Association Stadium, Mohali"
SE Marsh,Kolkata Knight Riders,40,"Punjab Cricket Association Stadium, Mohali"
WP Saha,Kings XI Punjab,59,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Kolkata Knight Riders,17,"Punjab Cricket Association Stadium, Mohali"
